學校名稱,學校首頁,公告網址
私立格致高中,http://www.gjsh.ntpc.edu.tw,找不到公告連結
財團法人南山高中,http://www.nssh.ntpc.edu.tw,找不到公告連結
私立東海高中,http://www.thhs.ntpc.edu.tw,找不到公告連結
私立醒吾高中,http://www.swsh.ntpc.edu.tw,找不到公告連結
財團法人辭修高中,http://www.tsshs.ntpc.edu.tw,找不到公告連結
私立南強工商,http://www.ncvs.ntpc.edu.tw,找不到公告連結
新北市福瑞斯特高中,http://www.chsh.ntpc.edu.tw,找不到公告連結
國立華僑高級中等學校,http://www.nocsh.ntpc.edu.tw,找不到公告連結
私立光仁高中,http://www.kjsh.ntpc.edu.tw,找不到公告連結
私立能仁家商,http://www.nrvs.ntpc.edu.tw,找不到公告連結
私立金陵女中,http://www.glghs.ntpc.edu.tw,找不到公告連結
私立豫章工商,http://www.ycvs.ntpc.edu.tw,找不到公告連結
私立康橋高中,https://www.kcis.ntpc.edu.tw/_XiugangCampus/,https://www.kcis.ntpc.edu.tw/_XiugangCampus/zh/News.html
私立崇義高中,https://www.tyhs.ntpc.edu.tw/,https://www.tyhs.ntpc.edu.tw/main_newsdetial.php?news_id=85&type_id=5
私立竹林高中,http://www.clsh.ntpc.edu.tw,找不到公告連結
財團法人恆毅高中,http://www.hchs.ntpc.edu.tw,找不到公告連結
私立智光商工,https://www.ckvs.ntpc.edu.tw/home,找不到公告連結
市立板橋高中,http://www.pcsh.ntpc.edu.tw,找不到公告連結
私立中信高中,https://www.ctbc.ntpc.edu.tw/,https://www.ctbc.ntpc.edu.tw/#cmb_3_0
市立泰山高中,http://www.tssh.ntpc.edu.tw,http://www.tssh.ntpc.edu.tw#cmb_10_0
私立中華商海,http://www.chmvs.ntpc.edu.tw,http://www.chmvs.ntpc.edu.tw/p/403-1000-14.php
市立新莊高中,http://www.hcsh.ntpc.edu.tw,http://www.hcsh.ntpc.edu.tw#cmb_10_0
私立莊敬工家,http://www.jjvs.ntpc.edu.tw,http://www.jjvs.ntpc.edu.tw/data.php?id=13208&tpl=1
市立瑞芳高工,https://web.jfvs.ntpc.edu.tw/,https://web.jfvs.ntpc.edu.tw/p/403-1000-54.php?Lang=zh-tw
市立新北高中,http://www.ntsh.ntpc.edu.tw/,http://www.ntsh.ntpc.edu.tw/#cmb_1_0
市立淡水商工,http://www.tsvs.ntpc.edu.tw,找不到公告連結
市立新北高工,https://www.ntvs.ntpc.edu.tw/,https://www.ntvs.ntpc.edu.tw/platform/index.php
私立穀保家商,http://www.kpvs.ntpc.edu.tw,http://www.kpvs.ntpc.edu.tw#cmb_3_0
市立林口高中,http://www.lksh.ntpc.edu.tw,http://www.lksh.ntpc.edu.tw#cmb_5_4
市立永平高中,https://www.yphs.ntpc.edu.tw/,找不到公告連結
市立海山高中,http://www.hshs.ntpc.edu.tw,http://www.hshs.ntpc.edu.tw#cmb_10_0
市立三重商工,http://www.scvs.ntpc.edu.tw,https://www.scvs.ntpc.edu.tw/p/412-1000-223.php
市立中和高中,http://www.chshs.ntpc.edu.tw,http://www.chshs.ntpc.edu.tw#cmb_10_0
私立復興商工,http://www.fhvs.ntpc.edu.tw,http://www.fhvs.ntpc.edu.tw/news-list
私立聖心女中,http://www.shgsh.ntpc.edu.tw,找不到公告連結
市立三重高中,https://www3.schs.ntpc.edu.tw/,https://www3.schs.ntpc.edu.tw/#cmb_10_2
市立三民高中,http://www.smsh.ntpc.edu.tw,找不到公告連結
市立樹林高中,http://www.slsh.ntpc.edu.tw,http://www.slsh.ntpc.edu.tw/index.php
